,pack,id,name,group,bleed_id
0,SP,1,Grookey,0,
1,SP,2,Scorbunny,1,
2,SP,3,Sobble,2,
3,SP,4,Meowth V,3,
4,SP,5,Meowth VMAX,4,
5,SP,6,Rillaboom,5,
6,SP,7,Frosmoth,6,
7,SP,8,Galarian Perrserker,7,
8,SP,9,Cinccino,8,
9,SP,10,Gossifleur,9,
10,SP,11,Wooloo,10,
11,SP,12,Morpeko,11,
12,SP,13,Galarian Ponyta,12,
13,SP,14,Rillaboom V,13,
14,SP,15,Cinderace V,14,
15,SP,16,Inteleon V,15,
16,SP,17,Toxtricity V,16,
17,SP,18,Zacian V,17,
18,SP,19,Zamazenta V,18,
19,SP,20,Pikachu,19,
20,SP,21,Polteageist V,20,
21,SP,22,Flapple,21,
22,SP,23,Luxray,22,
23,SP,24,Coalossal,23,
24,SP,25,Garbodor,24,
25,SP,26,Mantine,25,
26,SP,27,Noctowl,26,
27,SP,28,Duraludon,27,
28,SP,29,Rayquaza,28,
29,SP,30,Copperajah V,29,
30,SP,31,Morpeko,30,
31,SP,32,Snorlax,31,
32,SP,33,Zacian,32,
33,SP,34,Zamazenta,33,
34,SP,35,Decidueye,34,
35,SP,36,Arctozolt,35,
36,SP,37,Hydreigon,36,
37,SP,38,Kangaskhan,37,
38,SP,39,Pikachu,38,
39,SP,40,Hatenna,39,
40,SP,41,Flareon,40,
41,SP,42,Eevee,41,
42,SP,43,Galarian Sirfetch'd V,42,
43,SP,44,Eternatus V,43,
44,SP,45,Eternatus VMAX,44,
45,SP,46,Eldegoss,45,
46,SP,47,Drednaw,46,
47,SP,48,Centiskorch,47,
48,SP,49,Dubwool V,48,
49,SP,50,Charizard V,49,
50,SP,51,Lapras,50,
51,SP,52,Gengar,51,
52,SP,53,Machamp,52,
53,SP,54,Coalossal,23,
54,SP,55,Hatterene V,53,
55,SP,56,Morpeko V,54,
56,SP,57,Grimmsnarl V,55,
57,SP,58,Alcremie,56,
58,SP,59,Galarian Obstagoon,57,
59,SP,60,Duraludon,58,
60,SP,61,Pikachu V,59,
61,SP,62,Pikachu VMAX,60,
62,SP,63,Pikachu V,61,
63,SP,64,Eternatus V,43,
64,SP,65,Eevee V,62,
65,SP,66,Charizard,63,
66,SP,67,Donphan,64,
67,SP,68,Snorlax,65,
68,SP,69,Lugia,66,
69,SP,70,Grookey,67,
70,SP,71,Scorbunny,68,
71,SP,72,Vaporeon,69,
72,SP,73,Sobble,70,
73,SP,76,Zacian V,17,
74,SP,77,Zamazenta V,18,
75,SP,78,Orbeetle V,71,
76,SP,79,Galarian Mr. Rime,72,
77,SP,80,Dedenne,73,
78,SP,81,Polteageist,74,
79,SP,82,Bunnelby,75,
80,SP,83,Alakazam V,76,
81,SP,84,Eldegoss V,77,
82,SP,85,Boltund V,78,
83,SP,86,Cramorant V,79,
84,SP,87,Eevee VMAX,80,
85,SP,88,Cherrim,81,
86,SP,89,Octillery,82,
87,SP,90,Houndoom,83,
88,SP,91,Bronzong,84,
89,SP,92,Charmander,85,
90,SP,93,Arrokuda,86,
91,SP,94,Jolteon,87,
92,SP,95,Eevee,88,
93,SP,96,Dragapult V,89,
94,SP,97,Dragapult VMAX,90,
95,SP,98,Crobat V,91,
96,SP,99,Crobat VMAX,92,
97,SP,100,Venusaur V,93,
98,SP,101,Blastoise V,94,
99,SP,102,Venusaur VMAX,95,
100,SP,103,Blastoise VMAX,96,
101,SP,104,Victini V,97,
102,SP,105,Gardevoir V,98,
103,SP,106,Single Strike Urshifu V,99,
